species	C4	contrast_pair_id	order	family
Euphorbia_pulcherrima	0	3	Malpighiales	Euphorbiaceae
Euphorbia_maculata	1	3	Malpighiales	Euphorbiaceae
Flaveria_cronquistii	0	2	Asterales	Asteraceae
Flaveria_bidentis	1	2	Asterales	Asteraceae
Grayia_spinosa	0	1	Caryophyllales	Amaranthaceae
Atriplex_centralasiatica	1	1	Caryophyllales	Amaranthaceae
Atriplex_lentiformis	1	1	Caryophyllales	Amaranthaceae
Suaeda_linearis	0	1	Caryophyllales	Amaranthaceae
Suaeda_salsa	0	1	Caryophyllales	Amaranthaceae
Bassia_scoparia	1	1	Caryophyllales	Amaranthaceae
Halogeton_glomeratus	1	1	Caryophyllales	Amaranthaceae
Salsola_foliosa	1	1	Caryophyllales	Amaranthaceae
Carex_breviculmis	0	4	Poales	Cyperaceae
Carex_nigra	0	4	Poales	Cyperaceae
Cyperus_brevifolius	1	4	Poales	Cyperaceae
Cyperus_esculentus-var-sativus	1	4	Poales	Cyperaceae
Abelia_chinensis	0		Dipsacales	Caprifoliaceae
Abelmoschus_esculentus	0		Malvales	Malvaceae
Abronia_glabrifolia			Caryophyllales	Nyctaginaceae
Abronia_nealleyi			Caryophyllales	Nyctaginaceae
